hotel_url,Restaurant,Spot
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d6691572-Reviews-Mrt_Stay_Taipei_Shilin_Night_Market-Shilin_Taipei.html,,https://www.tripadvisor.com.tw/Attraction_Review-g13806856-d6955766-Reviews-Datun_Nature_Park-Sanzhi_New_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d596995-Reviews-Silk_Valley_Resort-Shilin_Taipei.html,,https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d6956544-Reviews-Yang_Ming_Shan_Leng_Shui_Keng-Shilin_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806657-d1163221-Reviews-Calla_Young_Garden_Resort-Jinshan_New_Taipei.html,,https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d6956562-Reviews-Yang_Ming_Shan_Jing_Shan_Recreation_Area-Shilin_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d7746307-Reviews-Yusense_Hotel-Shilin_Taipei.html,,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6554111-Reviews-Datun_Mountain-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d14187606-Reviews-Hua_Shan_Din_by_Cosmos_Creation-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d11978011-Reviews-Aloft_Taipei_Beitou-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d3470898-Reviews-Tianmu_Star_Urban_Living-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806657-d3748486-Reviews-Baian_Hot_Spring_Resort-Jinshan_New_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806657-d3561709-Reviews-Greenpeak_Hotel-Jinshan_New_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d3908090-Reviews-On_My_Way_Taipei_Hostel-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d558015-Reviews-Chyuan_Du_Spring_Resort-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d3454140-Reviews-Solo_Singer_Hotel-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d7253519-Reviews-LongStay_Taipei-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1788120-Reviews-Shan_Yue_Hotspring_Hotel-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d7395723-Reviews-Hotel_Royal_Beitou-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d6440283-Reviews-The_Gaia_Hotel_Taipei-Beitou_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d3371409-Reviews-The_Okura_Prestige_Taipei-Zhongshan_District_Taipei.html,,
